explanation,situation,answer,wrong1,wrong2,hint,similar1,similar2,similar3
시험에서 100점 받는 상황,"""이번 시험에서 100점을 받았어!""","""시험에서 100점을 받았다니 정말 대단해!""","""시험 점수는 별로 중요하지 않아.""","""100점이 뭐가 대단해?""",시험에서 좋은 점수를 받았다는 건 열심히 노력한 결과를 인정받은 거야. 형이 지금 느끼는 감정은 자부심과 기쁨이야. 그러니까 형의 노력과 성과를 인정해주는 말이 좋아.,"""100점을 받다니 자랑스러워!""",“공부 진짜 열심히 했네!”,"""시험에서 높은 점수를 받아서 정말 멋져!"""
생일선물을 받은 상황,"""생일 선물로 내가 원하던 자전거를 받았어!""","""생일 선물로 원하는 걸 받아서 정말 좋겠다!""","""그럼 나 주는 거야?""","""그냥 걷는 게 더 좋아.""",원하는 선물을 받는다면 큰 기쁨과 만족감을 얻을 수 있어. 형이 지금 느끼는 감정은 행복과 흥분이야. 그래서 형의 기쁨을 함께 나누고 축하해주는 말이 좋아.,"""자전거랑 완전 잘 어울려""","""원하는 걸 받아서 행복하겠다!""","""선물이 엄청 멋지다!"""
그림 대회에서 상을 받은 상황,"""그림 대회에서 상 받았어!""","""형이 그림 대회에서 상을 받아서 자랑스러워!""","""상 받는 게 무슨 의미가 있어?""","""그림을 잘 그릴 필요는 없어.""",그림 대회에서 상을 받았다는 건 예술적인 재능과 노력을 인정받았다는 거야. 형이 느끼는 감정은 자부심과 기쁨이야. 그래서 형의 재능과 성과를 칭찬하는 말이 적절해.,"""그림을 진짜 잘 그리는 구나!""","""그림 대회에서 수상까지 하다니 멋져!""","""역시 형이 상을 받을 줄 알았어!"""
가족 여행을 다녀온 상황,"""가족과 함께 여행 다녀왔어!""","""가족 여행이라니 정말 재밌겠다!""","""가족이랑 여행가면 재미없겠다.""","""그냥 집에 있었으면 더 좋았을 텐데.""",가족과 함께 여행을 다녀오면 특별한 추억을 만들 수 있어. 형이 느끼는 감정은 즐거움과 행복이야. 따라서 그 즐거움을 함께 나누고 공감하는 말이 좋아.,"""가족과 함께 있어서 행복했겠다!""","""어디로 여행 다녀왔어?""","""가족 여행이어서 더 좋았겠다!"""
좋아하는 연예인을 만난 상황,"""오늘 좋아하는 연예인을 만났어!""","""좋아하는 연예인을 만나서 정말 행복했겠다!""","""연예인을 만나는 게 뭐가 대단해?""","""그 사람이 그렇게 특별해?""",좋아하는 연예인을 만난 건 큰 기쁨과 행복을 주는 일이야. 형이 느끼는 감정은 기쁨과 설렘이야. 그래서 그 감정을 함께 느끼고 공감하는 말이 좋아.,"""연예인을 만나서 정말 기뻤겠다!""","""좋아하는 사람을 만나서 행복했겠다!""","""연예인 실제로 보니까 어땠어?"""
생일 파티를 한 상황,"""오늘 생일 파티 열었어!""","""생일 파티에서 맛있는 거 많이 먹었어?""","""그래서 생일 선물 달라고?""","""다른 날에도 파티 열 수 있잖아.""",생일 파티를 열었다는 건 특별한 날을 축하하고 즐거움을 나누는 일이야. 형이 느끼는 감정은 기쁨과 행복이야. 그래서 그 기쁨을 함께 나누고 축하하는 말이 좋아.,"“다음 생일 파티에는 나도 꼭 갈게!""","""생일 파티에서 소원 빌었어?""","""생일 파티 열어서 행복했겠다!"""
연극에서 주인공을 맡은 상황,"""학교 연극에서 주인공 맡았어!""","""연극 주인공이 되어서 정말 멋져!""","""주인공이 그렇게 하고 싶었어?""","""다른 역할 하는 사람은 슬프겠다.""",학교 연극에서 주인공 역할을 맡는 건 많은 노력이 필요한 일이야. 형이 느끼는 감정은 자부심과 기쁨이야. 그래서 그 성취를 칭찬하고 격려하는 말이 좋아.,"""주인공이 되어서 진짜 기쁘겠다!""","""연극 주인공이라서 자랑스러워!""","""형이 원하던 역할을 해서 다행이야!"""
새로 옷을 산 상황,"""봐봐 새로 산 옷이야!""","""오 새로 산 옷 진짜 잘 어울린다!""","""이걸 새로 샀다고? 완전 별로야.""","""형이랑 안 어울리는 옷을 왜 샀어?""",새로 옷을 사면 기분이 좋아지고 자신감이 생길 수 있어. 형이 느끼는 감정은 기쁨과 만족감이야. 따라서 형의 기쁨을 함께 나누고 칭찬하는 말이 좋아.,"""예쁘다 나도 사고싶어!""","""진짜 멋진 옷이네!""","""그 옷 엄청 귀엽다!"""
좋아하는 사람에게 고백한 상황,"""방금 좋아하는 사람한테 고백했어!""","""고백을 하다니 정말 용기 있다!""","""그 사람도 형을 좋아하긴 해?""","""안 어울리는데 왜 고백했어?""",좋아하는 사람에게 고백하는 건 큰 용기가 필요한 일이야. 형이 느끼는 감정은 설렘과 두려움이야. 따라서 형의 용기를 칭찬하고 응원하는 말이 좋아.,"""정말 용기있다. 대단해!""","""잘 될 거야, 응원해!""","""그 사람도 같은 마음이면 좋겠다!"""
좋아하는 가수의 콘서트에 다녀온 상황,"""내가 좋아하는 가수 콘서트에 갔어!""","""좋아하는 가수 노래를 직접 들어서 좋았겠다!""","""집에서 유튜브로 보면 안돼?""","""어차피 똑같이 스피커 통해서 듣는 거 아니야?""",좋아하는 가수의 콘서트는 큰 즐거움을 줄 수 있어. 형이 느끼는 감정은 행복과 흥분이야. 따라서 그 즐거움을 함께 나누고 공감하는 말이 좋아.,"""우와 나도 가보고 싶다!""","""형이 평소에 말하던 그 가수 아니야?""","""콘서트 분위기 어땠어?"""
