explanation,situation,answer,wrong1,wrong2,hint,similar1,similar2,similar3
생일선물을 받은 상황,"""생일 선물로 내가 원하던 자전거를 받았어!""","""생일 선물로 원하는 걸 받아서 정말 좋으시겠어요!""","""그럼 저 주시는 거예요?""","""걷는 게 건강에 더 좋아요.""",원하는 선물을 받는다면 큰 기쁨과 만족감을 얻을 수 있어요. 상대방이 지금 느끼는 감정은 행복과 흥분이에요. 그래서 상대방의 기쁨을 함께 나누고 축하해주는 말이 좋아요.,"""자전거랑 완전 잘 어울리세요.""","""원하는 걸 받아서 행복하시겠어요!""","""선물이 엄청 멋지네요!"""
그림 대회에서 상을 받은 상황,"""그림 대회에서 상 받았어!""","""그림 대회에서 상을 받아서 정말 자랑스러우시겠어요!""","""상 받는 게 무슨 의미가 있어요?""","""그림을 잘 그릴 필요는 없어요.""",그림 대회에서 상을 받았다는 건 예술적인 재능과 노력을 인정받았다는 거예요. 상대방이 느끼는 감정은 자부심과 기쁨이에요. 그래서 상대방의 재능과 성과를 칭찬하는 말이 적절해요.,"""그림을 진짜 잘 그리시나 봐요!""","""그림 대회에서 수상하시다니 멋지네요!""","""역시 상을 받으실 줄 알았어요!"""
가족 여행을 다녀온 상황,"""가족과 함께 여행 다녀왔어!""","""가족 여행이라니 정말 재밌으셨겠어요!""","""가족이랑 여행가면 재미없겠어요.""","""그냥 집에 있었으면 더 좋았을 텐데요.""",가족과 함께 여행을 다녀오면 특별한 추억을 만들 수 있어요. 상대방이 느끼는 감정은 즐거움과 행복이에요. 따라서 그 즐거움을 함께 나누고 공감하는 말이 좋아요.,"""가족과 함께 있어서 행복하셨겠어요!""","""어디로 여행 다녀오셨어요?""","""가족 여행이어서 더 좋으셨겠어요!"""
좋아하는 연예인을 만난 상황,"""오늘 좋아하는 연예인을 만났어!""","""좋아하는 연예인을 만나서 정말 행복하셨겠어요!""","""연예인을 만나는 게 뭐가 대단해요?""","""그 사람이 그렇게 특별해요?""",좋아하는 연예인을 만난 건 큰 기쁨과 행복을 주는 일이에요. 상대방이 느끼는 감정은 기쁨과 설렘이에요. 그래서 그 감정을 함께 느끼고 공감하는 말이 좋아요.,"""연예인을 만나서 정말 기쁘셨겠어요!""","""좋아하는 사람을 만나서 행복하셨겠어요!""","""연예인 실제로 보니 어떠셨어요?"""
생일 파티를 한 상황,"""오늘 생일 파티 열었어!""","""생일 파티에서 맛있는 거 많이 드셨나요?""","""그래서 생일 선물 달라는 거예요?""","""태어난 날일 뿐이잖아요.""",생일 파티를 열었다는 건 특별한 날을 축하하고 즐거움을 나누는 일이에요. 상대방이 느끼는 감정은 기쁨과 행복이에요. 그래서 그 기쁨을 함께 나누고 축하하는 말이 좋아요.,"""다음 생일 파티에는 저도 꼭 갈게요!""","""생일 파티에서 소원 비셨나요?""","""생일 파티 열어서 행복하셨겠어요!"""
연극에서 주인공을 맡은 상황,"""연극에서 주인공 맡았어!""","""연극 주인공이라니 정말 멋지세요!""","""주인공이 그렇게 하고 싶으셨어요?""","""다른 역할 하는 사람은 슬프겠네요.""",연극에서 주인공 역할을 맡는 건 많은 노력이 필요한 일이에요. 상대방이 느끼는 감정은 자부심과 기쁨이에요. 그래서 그 성취를 칭찬하고 격려하는 말이 좋아요.,"""주인공이 되어서 진짜 기쁘시겠어요!""","""주인공이라니 대단해요!""","""원하던 역할을 하셔서 다행이네요!"""
새로 옷을 산 상황,"""봐봐 새로 산 옷이야!""","""오 새로 산 옷이 진짜 잘 어울리세요!""","""이걸 새로 샀다고요? 완전 별로예요.""","""안 어울리는 옷을 왜 샀어요?""",새로 옷을 사면 기분이 좋아지고 자신감이 생길 수 있어요. 상대방이 느끼는 감정은 기쁨과 만족감이에요. 따라서 상대방의 기쁨을 함께 나누고 칭찬하는 말이 좋아요.,"""예쁘네요, 저도 사고 싶어요!""","""진짜 멋진 옷이네요!""","""그 옷 엄청 아름답네요!"""
좋아하는 가수의 콘서트에 다녀온 상황,"""내가 좋아하는 가수 콘서트에 갔어!""","""좋아하는 가수 노래를 직접 들어서 좋으셨겠어요!""","""집에서 유튜브로 보면 안 돼요?""","""어차피 똑같이 스피커 통해서 듣는 거 아니에요?""",좋아하는 가수의 콘서트는 큰 즐거움을 줄 수 있어요. 상대방이 느끼는 감정은 행복과 흥분이에요. 따라서 그 즐거움을 함께 나누고 공감하는 말이 좋아요.,"""우와, 저도 가보고 싶어요!""","""평소에 말씀하셨던 그 가수 맞아요?""","""콘서트 분위기 어땠어요?"""
새로운 취미를 시작한 상황,"""새로운 취미를 시작했어!""","""새로 시작한 취미는 어떤 거예요?""","""그거 재미없지 않아요?""","""그걸 굳이 취미로 해야 해요?""",새로운 취미를 시작하는 것은 흥미롭고 즐거운 일이에요. 상대방이 느끼는 감정은 기대와 즐거움이에요. 따라서 그 즐거움을 함께 나누고 공감하는 말이 좋아요.,"""정말 잘 어울리는 취미네요!""","""해보니까 어때요? 재미있어요?""","""새로운 취미를 시작해서 정말 신나겠어요!"""
시험에서 떨어진 상황,"""시험에서 떨어졌어.""","""시험에 떨어져서 많이 아쉽겠어요.”",“공부를 더 열심히 하지 그랬어요”,"""중요한 시험도 아니잖아요”",시험을 위해 열심히 노력했지만 떨어져서 속상할 거야. 상대방이 느끼는 감정은 슬픔과 아쉬움이야.  상대방의 노력에 대해 공감해주고 위로해주는 말이 좋아,"""속상하시겠어요""","""다음에는 더 잘 할 수 있을 거예요.”","""도전한 것만으로도 대단한 거죠!”"
